Stroma	Epithelial	Immune
C3L-00561	0.0303231773002931	0.474579272302093	0.495097550397614
C3L-01287	0.0976799305342712	0.569116940111004	0.333203129354724
C3L-01603	0.18824918583982	0.646615723357969	0.165135090802212
C3N-01524	0.135170278598794	0.691142639256306	0.1736870821449
C3N-01214	0.281564882957628	0.280925989990327	0.437509127052045
C3N-00834	0.217288676199752	0.698875086350761	0.0838362374494874
C3N-01261	0.28693750882028	0.711516826399848	0.00154566477987097
C3L-00917	0.194900374070343	0.5255802201617	0.279519405767957
C3L-01861	0.292322762202173	0.501452953930081	0.206224283867746
C3L-01352	0.182106209859446	0.688861884515973	0.129031905624581
C3N-00194	0.0785271467198374	0.584871967672151	0.336600885608011
C3L-00010	0.173364936275257	0.605058941079874	0.221576122644869
C3L-00607	0.0611873905363964	0.529813942985888	0.408998666477715
C3N-00495	0.180256534948551	0.51622748709136	0.303515977960089
C3N-00831	0.243018405742909	0.638163584569242	0.118818009687849
C3N-01646	0.132747779419858	0.592474644053916	0.274777576526227
C3L-00791	0.0716150615821937	0.799911020505118	0.128473917912689
C3L-00369	0.0532987162981676	0.946701283701832	0
C3L-00183	0.376955975062068	0.493608044979632	0.1294359799583
C3N-00168	0.22264178859223	0.592418589637678	0.184939621770092
C3L-00004	0.0774845293502173	0.551031358652229	0.371484111997554
C3N-00150	0.343799014168537	0.351674242243943	0.304526743587521
C3N-00953	0.125266241028835	0.482046372011249	0.392687386959916
C3L-00097	0.214809384887552	0.740230239368498	0.0449603757439509
C3L-00583	0.124599226874578	0.754960311405956	0.120440461719466
C3N-01178	0.135906924688407	0.541419646859739	0.322673428451854
C3L-00088	0.217124668570859	0.652554043507124	0.130321287922017
C3N-00244	0.209347868825571	0.733225689710317	0.0574264414641127
C3L-00908	0.102036035298386	0.492914321859784	0.405049642841831
C3L-00814	0.0916479379750221	0.701853416011932	0.206498646013046
C3L-00026	0.0404971285226521	0.773430925546642	0.186071945930705
C3L-00447	0.14692024282207	0.727370734121536	0.125709023056393
C3N-00148	0.233087786299996	0.520699376407056	0.246212837292948
C3N-00246	0.107666364812553	0.892333635187447	-2.12878159824128e-18
C3L-00416	0.042529939195707	0.51207991713288	0.445390143671413
C3L-00096	0.0515994505902612	0.564596063960105	0.383804485449634
C3L-00765	0.34248470700354	0.408805016366275	0.248710276630185
C3L-01836	0.224325969028826	0.592944535292931	0.182729495678243
C3L-00902	0.230136628426827	0.652732068628432	0.117131302944741
C3N-00646	0.214652598054548	0.372890400872499	0.412457001072953
C3L-00011	0.211022248693808	0.618773431662411	0.170204319643782
C3N-01200	0.236585795946848	0.505769664458344	0.257644539594808
C3N-00177	0.11024107377023	0.459429842799523	0.430329083430248
C3N-01176	0.20439645213793	0.679154987730263	0.116448560131807
C3L-00103	0.193531081927683	0.6560416414229	0.150427276649417
C3N-01649	0.256689848858999	0.618153140349665	0.125157010791336
C3N-01808	0.173337185271453	0.7441619465509	0.0825008681776465
C3N-00149	0.159915821252349	0.574869993497023	0.265214185250628
C3L-00817	0.26366408733229	0.547006317483875	0.189329595183835
C3N-00573	0.150137631483269	0.642977779895278	0.206884588621453
C3L-00581	0.220708237176683	0.510405093513552	0.268886669309765
C3L-01313	0.143707289460992	0.69331204411101	0.162980666427998
C3L-00360	0.0733521638423982	0.44393696588883	0.482710870268772
C3N-01361	0.335971049285264	0.561790451972135	0.102238498742601
C3N-01651	0.128993958083472	0.593927911297169	0.277078130619359
C3L-01302	0.050153661774314	0.584215443517248	0.365630894708438
C3L-00907	0.0857335194170879	0.588849749777615	0.325416730805297
C3L-01607	0.10153001928311	0.398288567727168	0.500181412989722
C3L-00448	0.198370442529258	0.758338315696308	0.0432912417744343
C3L-01286	0.00622169079101531	0.909630652785033	0.0841476564239518
C3N-01179	0.27236911434657	0.596800541361184	0.130830344292247
C3L-00606	0.229174122492661	0.667867812476292	0.102958065031047
C3N-01648	0.148376650439096	0.0947273639817364	0.756895985579167
C3N-00242	0.0418479553418659	0.958152044658134	3.48146064888202e-18
C3L-00418	0.266574204179909	0.674830800330503	0.0585949954895887
C3N-00733	0.23728847411392	0.556857522733399	0.205854003152681
C3N-00577	0.246733184093431	0.575210968303469	0.178055847603099
C3N-01522	0.0871416613684049	0.82536440186448	0.0874939367671154
C3L-00079	0.0922111490945159	0.637903861369967	0.269884989535517
C3N-01220	4.76536733423521e-19	0.398729935274313	0.601270064725686
C3L-00910	0.208279957554982	0.653932604452678	0.13778743799234
C3L-01283	0.152448725365501	0.357247482078972	0.490303792555526
C3L-00813	0.228930359210591	0.608407063889528	0.162662576899882
C3L-01560	0.242303052042473	0.6125289462389	0.145168001718627
C3L-01557	0.190587432240543	0.733717034274655	0.0756955334848015
C3L-00799	0.172690287894383	0.62773813418256	0.199571577923056
C3L-00796	0.137039062884948	0.726689320472558	0.136271616642494
C3L-00792	0.0372908046594942	0.568421599561425	0.394287595779081
C3L-01288	0.206135875187169	0.646921243338958	0.146942881473873
C3L-00766	0.201924222995248	0.616588340912676	0.181487436092075
C3L-00610	0.226788568762996	0.632666258221209	0.140545173015796
C3L-00800	0.175383514823406	0.539458785890005	0.28515769928659
C3N-00154	0.102629734124746	0.361370466449189	0.535999799426065
C3N-01213	0.247917936457798	0.612669553137592	0.13941251040461
C3L-01553	0.27024376512849	0.65873423444713	0.0710220004243794
C3L-00812	0.324535574744644	0.608500202416665	0.0669642228386914
C3L-00790	0.271806242189842	0.390319950581337	0.337873807228821
C3N-00852	0.00304547948716042	0.838780134023322	0.158174386489518
C3N-00437	0.0644194106890227	0.618055623530285	0.317524965780693
C3N-00320	0.183490490191554	0.718039246518566	0.098470263289879
C3N-00305	0.302915510920062	0.530139946785075	0.166944542294863
C3N-00315	4.20207429738953e-18	0.351291545545106	0.648708454454894
C3N-00317	0.0937660044655748	0.482307558184456	0.42392643734997
C3N-00491	0.168058701576368	0.484894774833181	0.347046523590451
C3N-00314	0.278634318559856	0.600593311347332	0.120772370092813
C3N-00380	0.231595138532743	0.52993595747988	0.238468903987377
C3N-00312	0.129171878922223	0.65904970968744	0.211778411390337
C3N-00494	0.204280567461747	0.71864933998649	0.0770700925517636
C3N-00390	0.1639711843253	0.572122640824012	0.263906174850688
C3N-00310	0.116754754456198	0.8145514676953	0.0686937778485026
